1,19,15,39,1
1,21,15,81,0
2,20,16,6,1
2,23,16,77,0
2,31,17,40,1
2,22,17,76,0
2,35,18,6,1
2,23,18,94,0
1,64,19,3,1
2,30,19,72,0
1,67,19,14,1
2,35,19,99,0
2,58,20,15,1
2,24,20,77,0
1,37,20,13,1
1,22,20,79,0
2,35,21,35,1
1,20,21,66,0
1,52,23,29,1
2,35,23,98,0
1,35,24,35,1
1,25,24,73,0
2,46,25,5,1
1,31,25,73,0
2,54,28,14,1
1,29,28,82,0
2,45,28,32,1
1,35,28,61,0
2,40,29,31,1
2,23,29,87,0
1,60,30,4,1
2,21,30,73,0
1,53,33,4,1
1,18,33,92,0
2,49,33,14,1
2,21,33,81,0
2,42,34,17,1
2,30,34,73,0
2,36,37,26,1
2,20,37,75,0
2,65,38,35,1
1,24,38,92,0
1,48,39,36,1
2,31,39,61,0
2,49,39,28,1
2,24,39,65,0
2,50,40,55,1
2,27,40,47,1
2,29,40,42,1
2,31,40,42,1
2,49,42,52,1
1,33,42,60,0
2,31,43,54,0
1,59,43,60,1
2,50,43,45,1
1,47,43,41,1
2,51,44,50,1
1,69,44,46,1
2,27,46,51,0
1,53,46,46,1
1,70,46,56,1
1,19,46,55,0
2,67,47,52,1
2,54,47,59,1
1,63,48,51,1
1,18,48,59,0
2,43,48,50,1
2,68,48,48,1
1,19,48,59,0
2,32,48,47,1
1,70,49,55,1
2,47,49,42,1
2,60,50,49,1
2,60,50,56,1
1,59,54,47,1
1,26,54,54,0
2,45,54,53,1
1,40,54,48,1
2,23,54,52,0
2,49,54,42,1
1,57,54,51,1
1,38,54,55,0
1,67,54,41,1
2,46,54,44,1
2,21,54,57,0
1,48,54,46,1
2,55,57,58,1
2,22,57,55,0
2,34,58,60,0
2,50,58,46,1
2,68,59,55,1
1,18,59,41,1
1,48,60,49,1
2,40,60,40,1
2,32,60,42,1
1,24,60,52,0
2,47,60,47,1
2,27,60,50,0
1,48,61,42,1
1,20,61,49,0
2,23,62,41,1
2,49,62,48,1
1,67,62,59,1
1,26,62,55,0
1,49,62,56,1
2,21,62,42,1
2,66,63,50,1
1,54,63,46,1
1,68,63,43,1
1,66,63,48,1
1,65,63,52,1
2,19,63,54,0
2,38,64,42,1
1,19,64,46,0
2,18,65,48,0
2,19,65,50,0
2,63,65,43,1
2,49,65,59,0
2,51,67,43,1
2,50,67,57,1
1,27,67,56,0
2,38,67,40,1
2,40,69,58,0
1,39,69,91,0
2,23,70,29,1
2,31,70,77,0
1,43,71,35,1
1,40,71,95,0
1,59,71,11,1
1,38,71,75,0
1,47,71,9,1
1,39,71,75,0
2,25,72,34,1
2,31,72,71,0
1,20,73,5,1
2,29,73,88,0
2,44,73,7,1
1,32,73,73,0
1,19,74,10,1
2,35,74,72,0
2,57,75,5,1
1,32,75,93,0
2,28,76,40,1
2,32,76,87,0
1,25,77,12,1
1,28,77,97,0
1,48,77,36,1
2,32,77,74,0
2,34,78,22,1
1,34,78,90,0
1,43,78,17,1
1,39,78,88,0
2,44,78,20,1
2,38,78,76,0
2,47,78,16,1
2,27,78,89,0
1,37,78,1,1
2,30,78,78,0
1,34,78,1,1
2,30,78,73,0
2,56,79,35,1
2,29,79,83,0
1,19,81,5,1
2,31,81,93,0
1,50,85,26,1
2,36,85,75,0
1,42,86,20,1
2,33,86,95,0
2,36,87,27,1
1,32,87,63,0
1,40,87,13,1
1,28,87,75,0
1,36,87,10,1
1,36,87,92,0
2,52,88,13,1
2,30,88,86,0
1,58,88,15,1
1,27,88,69,0
1,59,93,14,1
1,35,93,90,0
2,37,97,32,1
2,32,97,86,0
1,46,98,15,1
2,29,98,88,0
2,41,99,39,1
1,30,99,97,0
2,54,101,24,1
1,28,101,68,0
2,41,103,17,1
2,36,103,85,0
2,34,103,23,1
2,32,103,69,0
1,33,113,8,1
2,38,113,91,0
2,47,120,16,1
2,35,120,79,0
2,45,126,28,1
1,32,126,74,0
1,32,137,18,1
1,30,137,83,0
